assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_002741355.1	PRJNA224116	SAMN01917241	na	na	na	na	562	562	Escherichia coli	strain=ATCC 43896	na	latest	Complete Genome	Major	Full	2017/11/02	ASM274135v1		GCA_002741355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/741/355/GCF_002741355.1_ASM274135v1	./GCF_002741355.1_ASM274135v1_genomic.fna.gz
GCF_002803905.1	PRJNA224116	SAMN07983336	na	na	na	na	562	562	Escherichia coli	strain=AMA1167	na	latest	Complete Genome	Major	Full	2017/12/04	ASM280390v1		GCA_002803905.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/803/905/GCF_002803905.1_ASM280390v1	./GCF_002803905.1_ASM280390v1_genomic.fna.gz
GCF_002860105.1	PRJNA224116	SAMN06198937	na	na	na	na	562	562	Escherichia coli	strain=CRE1493	na	latest	Complete Genome	Major	Full	2018/01/04	ASM286010v1		GCA_002860105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/860/105/GCF_002860105.1_ASM286010v1	./GCF_002860105.1_ASM286010v1_genomic.fna.gz
GCF_002863685.1	PRJNA224116	SAMN07806871	na	na	na	na	562	562	Escherichia coli	strain=SMN152SH1	na	latest	Complete Genome	Major	Full	2018/01/05	ASM286368v1		GCA_002863685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/863/685/GCF_002863685.1_ASM286368v1	./GCF_002863685.1_ASM286368v1_genomic.fna.gz
GCF_002853715.1	PRJNA224116	SAMN07807401	na	na	na	na	562	562	Escherichia coli	strain=14EC020	na	latest	Complete Genome	Major	Full	2018/01/03	ASM285371v1		GCA_002853715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/853/715/GCF_002853715.1_ASM285371v1	./GCF_002853715.1_ASM285371v1_genomic.fna.gz
GCF_002855325.1	PRJNA224116	SAMN07792806	na	na	na	na	562	562	Escherichia coli	strain=14EC001	na	latest	Complete Genome	Major	Full	2018/01/03	ASM285532v1		GCA_002855325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/855/325/GCF_002855325.1_ASM285532v1	./GCF_002855325.1_ASM285532v1_genomic.fna.gz
GCF_002788295.1	PRJNA224116	SAMN04014852	na	na	na	na	562	562	Escherichia coli	strain=AR_0011	na	latest	Complete Genome	Major	Full	2017/11/20	ASM278829v1		GCA_002788295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/788/295/GCF_002788295.1_ASM278829v1	./GCF_002788295.1_ASM278829v1_genomic.fna.gz
GCF_002787215.1	PRJNA224116	SAMN04014847	na	na	na	na	562	562	Escherichia coli	strain=AR_0006	na	latest	Complete Genome	Major	Full	2017/11/20	ASM278721v1		GCA_002787215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/787/215/GCF_002787215.1_ASM278721v1	./GCF_002787215.1_ASM278721v1_genomic.fna.gz
GCF_002796445.1	PRJNA224116	SAMN04014860	na	na	na	na	562	562	Escherichia coli	strain=AR_0019	na	latest	Complete Genome	Major	Full	2017/11/27	ASM279644v1		GCA_002796445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/796/445/GCF_002796445.1_ASM279644v1	./GCF_002796445.1_ASM279644v1_genomic.fna.gz
GCF_002796585.1	PRJNA224116	SAMN04014858	na	na	na	na	562	562	Escherichia coli	strain=AR_0017	na	latest	Complete Genome	Major	Full	2017/11/27	ASM279658v1		GCA_002796585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/796/585/GCF_002796585.1_ASM279658v1	./GCF_002796585.1_ASM279658v1_genomic.fna.gz
