"Tool","degree_bin","frac_bin","count","total_deg","count_norm"
"Bifrost",0,"0%–5%",56,311,0.180064308681672
"Bifrost",0,"5%–10%",28,311,0.090032154340836
"Bifrost",0,"10%–15%",2,311,0.00643086816720257
"Bifrost",0,"15%–20%",3,311,0.00964630225080386
"Bifrost",0,"20%–25%",3,311,0.00964630225080386
"Bifrost",0,"25%–30%",12,311,0.0385852090032154
"Bifrost",0,"30%–35%",14,311,0.045016077170418
"Bifrost",0,"35%–40%",11,311,0.0353697749196141
"Bifrost",0,"65%–70%",1,311,0.00321543408360129
"Bifrost",0,"70%–75%",2,311,0.00643086816720257
"Bifrost",0,"75%–80%",1,311,0.00321543408360129
"Bifrost",0,"85%–90%",2,311,0.00643086816720257
"Bifrost",0,"90%–95%",19,311,0.0610932475884244
"Bifrost",0,"95%–100%",157,311,0.504823151125402
"Bifrost",1,"0%–5%",267,1068,0.25
"Bifrost",1,"5%–10%",91,1068,0.0852059925093633
"Bifrost",1,"10%–15%",42,1068,0.0393258426966292
"Bifrost",1,"15%–20%",28,1068,0.0262172284644195
"Bifrost",1,"20%–25%",27,1068,0.0252808988764045
"Bifrost",1,"25%–30%",58,1068,0.0543071161048689
"Bifrost",1,"30%–35%",57,1068,0.0533707865168539
"Bifrost",1,"35%–40%",39,1068,0.0365168539325843
"Bifrost",1,"40%–45%",2,1068,0.00187265917602996
"Bifrost",1,"45%–50%",5,1068,0.00468164794007491
"Bifrost",1,"50%–55%",3,1068,0.00280898876404494
"Bifrost",1,"55%–60%",5,1068,0.00468164794007491
"Bifrost",1,"60%–65%",3,1068,0.00280898876404494
"Bifrost",1,"65%–70%",5,1068,0.00468164794007491
"Bifrost",1,"70%–75%",10,1068,0.00936329588014981
"Bifrost",1,"75%–80%",3,1068,0.00280898876404494
"Bifrost",1,"80%–85%",7,1068,0.00655430711610487
"Bifrost",1,"85%–90%",6,1068,0.00561797752808989
"Bifrost",1,"90%–95%",38,1068,0.0355805243445693
"Bifrost",1,"95%–100%",372,1068,0.348314606741573
"Bifrost",2,"0%–5%",9585,31264,0.306582650972364
"Bifrost",2,"5%–10%",2389,31264,0.0764137666325486
"Bifrost",2,"10%–15%",924,31264,0.0295547594677584
"Bifrost",2,"15%–20%",402,31264,0.0128582395087001
"Bifrost",2,"20%–25%",546,31264,0.01746417604913
"Bifrost",2,"25%–30%",1272,31264,0.0406857727737973
"Bifrost",2,"30%–35%",1227,31264,0.039246417604913
"Bifrost",2,"35%–40%",389,31264,0.0124424257932446
"Bifrost",2,"40%–45%",132,31264,0.00422210849539406
"Bifrost",2,"45%–50%",181,31264,0.00578940634595701
"Bifrost",2,"50%–55%",147,31264,0.00470189355168884
"Bifrost",2,"55%–60%",345,31264,0.0110350562947799
"Bifrost",2,"60%–65%",220,31264,0.00703684749232344
"Bifrost",2,"65%–70%",290,31264,0.00927584442169908
"Bifrost",2,"70%–75%",586,31264,0.0187436028659161
"Bifrost",2,"75%–80%",204,31264,0.00652507676560901
"Bifrost",2,"80%–85%",166,31264,0.00530962128966223
"Bifrost",2,"85%–90%",507,31264,0.0162167349027636
"Bifrost",2,"90%–95%",1525,31264,0.0487781473899693
"Bifrost",2,"95%–100%",10227,31264,0.327117451381781
"Bifrost",3,"0%–5%",3835,12539,0.305845761224978
"Bifrost",3,"5%–10%",839,12539,0.0669112369407449
"Bifrost",3,"10%–15%",306,12539,0.0244038599569344
"Bifrost",3,"15%–20%",152,12539,0.0121221788021373
"Bifrost",3,"20%–25%",170,12539,0.0135576999760746
"Bifrost",3,"25%–30%",515,12539,0.0410718558098732
"Bifrost",3,"30%–35%",370,12539,0.0295079352420448
"Bifrost",3,"35%–40%",191,12539,0.0152324746790015
"Bifrost",3,"40%–45%",68,12539,0.00542307999042986
"Bifrost",3,"45%–50%",118,12539,0.0094106388069224
"Bifrost",3,"50%–55%",79,12539,0.00630034293005822
"Bifrost",3,"55%–60%",201,12539,0.0160299864423
"Bifrost",3,"60%–65%",73,12539,0.00582183587207911
"Bifrost",3,"65%–70%",111,12539,0.00885238057261345
"Bifrost",3,"70%–75%",251,12539,0.0200175452587926
"Bifrost",3,"75%–80%",97,12539,0.00773586410399553
"Bifrost",3,"80%–85%",103,12539,0.00821437116197464
"Bifrost",3,"85%–90%",255,12539,0.020336549964112
"Bifrost",3,"90%–95%",678,12539,0.0540712975516389
"Bifrost",3,"95%–100%",4127,12539,0.329133104713295
"Bifrost",4,"0%–5%",3968,13415,0.295788296682818
"Bifrost",4,"5%–10%",946,13415,0.0705180767797242
"Bifrost",4,"10%–15%",264,13415,0.0196794632873649
"Bifrost",4,"15%–20%",127,13415,0.0094670145359672
"Bifrost",4,"20%–25%",156,13415,0.0116287737607156
"Bifrost",4,"25%–30%",495,13415,0.0368989936638092
"Bifrost",4,"30%–35%",365,13415,0.0272083488632128
"Bifrost",4,"35%–40%",208,13415,0.0155050316809542
"Bifrost",4,"40%–45%",71,13415,0.00529258292955647
"Bifrost",4,"45%–50%",106,13415,0.00790160268356318
"Bifrost",4,"50%–55%",87,13415,0.00648527767424525
"Bifrost",4,"55%–60%",223,13415,0.0166231830040999
"Bifrost",4,"60%–65%",80,13415,0.00596347372344391
"Bifrost",4,"65%–70%",205,13415,0.015281401416325
"Bifrost",4,"70%–75%",275,13415,0.0204994409243384
"Bifrost",4,"75%–80%",83,13415,0.00618710398807305
"Bifrost",4,"80%–85%",97,13415,0.00723071188967574
"Bifrost",4,"85%–90%",250,13415,0.0186358553857622
"Bifrost",4,"90%–95%",690,13415,0.0514349608647037
"Bifrost",4,"95%–100%",4719,13415,0.351770406261647
"Bifrost",5,"0%–5%",129,368,0.35054347826087
"Bifrost",5,"5%–10%",28,368,0.0760869565217391
"Bifrost",5,"10%–15%",11,368,0.0298913043478261
"Bifrost",5,"15%–20%",11,368,0.0298913043478261
"Bifrost",5,"20%–25%",7,368,0.0190217391304348
"Bifrost",5,"25%–30%",6,368,0.016304347826087
"Bifrost",5,"30%–35%",7,368,0.0190217391304348
"Bifrost",5,"35%–40%",2,368,0.00543478260869565
"Bifrost",5,"40%–45%",3,368,0.00815217391304348
"Bifrost",5,"45%–50%",3,368,0.00815217391304348
"Bifrost",5,"50%–55%",3,368,0.00815217391304348
"Bifrost",5,"55%–60%",8,368,0.0217391304347826
"Bifrost",5,"60%–65%",3,368,0.00815217391304348
"Bifrost",5,"65%–70%",1,368,0.00271739130434783
"Bifrost",5,"70%–75%",9,368,0.0244565217391304
"Bifrost",5,"75%–80%",1,368,0.00271739130434783
"Bifrost",5,"80%–85%",5,368,0.0135869565217391
"Bifrost",5,"85%–90%",8,368,0.0217391304347826
"Bifrost",5,"90%–95%",15,368,0.0407608695652174
"Bifrost",5,"95%–100%",108,368,0.293478260869565
"Bifrost",6,"0%–5%",5,19,0.263157894736842
"Bifrost",6,"5%–10%",3,19,0.157894736842105
"Bifrost",6,"10%–15%",1,19,0.0526315789473684
"Bifrost",6,"20%–25%",1,19,0.0526315789473684
"Bifrost",6,"60%–65%",1,19,0.0526315789473684
"Bifrost",6,"70%–75%",1,19,0.0526315789473684
"Bifrost",6,"80%–85%",1,19,0.0526315789473684
"Bifrost",6,"90%–95%",1,19,0.0526315789473684
"Bifrost",6,"95%–100%",5,19,0.263157894736842
"Bifrost",7,"0%–5%",2,5,0.4
"Bifrost",7,"35%–40%",1,5,0.2
"Bifrost",7,"60%–65%",1,5,0.2
"Bifrost",7,"95%–100%",1,5,0.2
"Bifrost",8,"95%–100%",2,2,1
"Cuttlefish",1,"0%–5%",18,18,1
"Cuttlefish",2,"0%–5%",36925,65325,0.565250669728282
"Cuttlefish",2,"5%–10%",2801,65325,0.0428779181017987
"Cuttlefish",2,"10%–15%",1010,65325,0.0154611557596632
