Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
DRR381601_assembly	100	0.07	Neural Network (Specific Model)	11	0.877	209957	294.167353051292	5363512	0.5	5342	None
DRR381603_assembly	100	0.04	Neural Network (Specific Model)	11	0.877	187928	293.042264010426	5374812	0.5	5371	None
DRR381607_assembly	100	0.04	Neural Network (Specific Model)	11	0.878	187928	296.003960769521	5354432	0.5	5302	None
DRR381616_assembly	100	0.08	Neural Network (Specific Model)	11	0.876	187937	290.529836916234	5355901	0.5	5396	None
DRR381634_assembly	100	0.11	Neural Network (Specific Model)	11	0.878	193471	292.455736477634	5330460	0.5	5343	None
DRR381635_assembly	100	0.05	Neural Network (Specific Model)	11	0.877	187510	294.655673560648	5397354	0.5	5367	None
DRR381661_assembly	100	0.04	Neural Network (Specific Model)	11	0.877	249980	292.023638426626	5271316	0.5	5288	None
DRR381665_assembly	100	0.03	Neural Network (Specific Model)	11	0.877	145213	286.555122494432	5271825	0.5	5388	None
DRR381669_assembly	100	0.05	Neural Network (Specific Model)	11	0.876	148325	287.423856502242	5473743	0.5	5575	None
DRR381701_assembly	100	0.03	Neural Network (Specific Model)	11	0.876	147335	287.533602644142	5353005	0.5	5446	None
DRR381723_assembly	100	0.05	Neural Network (Specific Model)	11	0.877	183166	295.435165677073	5263610	0.5	5221	None
DRR381735_assembly	100	0.03	Neural Network (Specific Model)	11	0.879	211702	299.521789883268	5245928	0.5	5140	None
DRR381740_assembly	100	0.1	Neural Network (Specific Model)	11	0.877	163748	292.312188825373	5411884	0.5	5423	None
DRR381743_assembly	100	0.11	Neural Network (Specific Model)	11	0.878	187345	293.886161978478	5306835	0.5	5297	None
DRR381744_assembly	100	0.06	Neural Network (Specific Model)	11	0.877	183740	292.333520284165	5335604	0.5	5349	None
DRR381745_assembly	100	0.04	Neural Network (Specific Model)	11	0.877	170369	296.470111839568	5248101	0.5	5186	None
DRR381749_assembly	100	0.08	Neural Network (Specific Model)	11	0.877	244541	296.746486897076	5332888	0.5	5266	None
SRR10119255_assembly	100	0.06	Neural Network (Specific Model)	11	0.877	148119	290.516044776119	5317260	0.5	5360	None
SRR10119414_assembly	100	0.04	Neural Network (Specific Model)	11	0.877	183739	291.646577380952	5354571	0.5	5376	None
SRR10337442_assembly	100	0.04	Neural Network (Specific Model)	11	0.877	167771	294.592307692308	5230958	0.5	5200	None
SRR10506462_assembly	100	0.02	Neural Network (Specific Model)	11	0.877	116768	294.706801295485	5278695	0.5	5249	None
SRR10520171_assembly	100	0.04	Neural Network (Specific Model)	11	0.876	164270	288.9565376187	5407799	0.5	5476	None
SRR13160357_assembly	100	0.03	Neural Network (Specific Model)	11	0.877	131621	287.177100344765	5404388	0.5	5511	None
SRR13160359_assembly	100	0.06	Neural Network (Specific Model)	11	0.877	139729	293.95336592704	5334702	0.5	5318	None
SRR13160360_assembly	100	0.11	Neural Network (Specific Model)	11	0.875	126919	289.5946783306	5435595	0.5	5487	None
SRR13167188_assembly	100	0.06	Neural Network (Specific Model)	11	0.878	108525	291.750558867362	5343143	0.5	5368	None
SRR14419375_assembly	100	0.03	Neural Network (Specific Model)	11	0.875	127737	292.016147635525	5194720	0.5	5202	None
SRR14419377_assembly	100	0.03	Neural Network (Specific Model)	11	0.876	160455	287.41701970897	5336317	0.5	5429	None
SRR14419379_assembly	100	0.04	Neural Network (Specific Model)	11	0.876	134071	290.538186606471	5279604	0.5	5316	None
SRR14419381_assembly	100	0.07	Neural Network (Specific Model)	11	0.875	121858	291.592898272553	5198179	0.5	5210	None
SRR14419383_assembly	100	0.02	Neural Network (Specific Model)	11	0.876	159148	289.710301227222	5323945	0.5	5378	None
SRR14419387_assembly	100	0.03	Neural Network (Specific Model)	11	0.874	110217	289.659654395192	5281263	0.5	5324	None
SRR1509643_assembly	100	0.06	Neural Network (Specific Model)	11	0.876	187590	291.533769878391	5323836	0.5	5345	None
SRR15277995_assembly	100	0.08	Neural Network (Specific Model)	11	0.876	145228	282.726071428571	5411971	0.5	5600	None
SRR15277999_assembly	100	0.08	Neural Network (Specific Model)	11	0.876	146104	281.334641455583	5393135	0.5	5606	None
SRR15376141_assembly	100	0.37	Neural Network (Specific Model)	11	0.876	160453	289.511946656788	5345530	0.5	5399	None
SRR15376142_assembly	100	0.25	Neural Network (Specific Model)	11	0.875	183877	289.544038568515	5342023	0.5	5393	None
SRR15376143_assembly	100	0.25	Neural Network (Specific Model)	11	0.875	183934	290.072848912842	5340498	0.5	5381	None
SRR15376144_assembly	100	0.26	Neural Network (Specific Model)	11	0.875	106783	289.346484667165	5296721	0.5	5348	None
SRR15376145_assembly	100	0.25	Neural Network (Specific Model)	11	0.875	120751	288.756102105459	5302821	0.5	5367	None
SRR15376146_assembly	100	0.02	Neural Network (Specific Model)	11	0.875	98956	288.158831241806	5265091	0.5	5339	None
SRR15376147_assembly	100	0.25	Neural Network (Specific Model)	11	0.875	129017	288.524091919941	5327583	0.5	5396	None
SRR15376149_assembly	100	0.02	Neural Network (Specific Model)	11	0.874	124152	288.19353640416	5315630	0.5	5384	None
SRR15376150_assembly	100	0.02	Neural Network (Specific Model)	11	0.875	157170	287.439160319524	5291684	0.5	5383	None
SRR15376151_assembly	100	0.24	Neural Network (Specific Model)	11	0.874	84736	280.551956098424	5430699	0.5	5649	None
SRR15376152_assembly	100	0.42	Neural Network (Specific Model)	11	0.875	121933	287.300663227708	5336866	0.5	5428	None
SRR15376153_assembly	100	0.26	Neural Network (Specific Model)	11	0.875	187940	289.705066568047	5359417	0.5	5408	None
SRR15376154_assembly	100	0.02	Neural Network (Specific Model)	11	0.874	115661	288.487927191679	5320281	0.5	5384	None
SRR15415532_assembly	100	0.02	Neural Network (Specific Model)	11	0.874	45358	290.400877695096	5213785	0.51	5241	None
SRR15415538_assembly	100	0.04	Neural Network (Specific Model)	11	0.874	39851	286.818705838602	5283370	0.51	5378	None
SRR15415539_assembly	100	0.07	Neural Network (Specific Model)	11	0.875	102488	284.9563080284	5354305	0.5	5493	None
SRR15415540_assembly	100	0.02	Neural Network (Specific Model)	11	0.873	57206	290.411225658648	5220379	0.51	5238	None
SRR15415542_assembly	100	0.01	Neural Network (Specific Model)	11	0.875	38183	283.345335515548	5330324	0.51	5499	None
