"Gene","Non-unique Gene name","No. isolates","No. sequences"
"DRR381745_complete_genome_CDS_4112","cloud","2","2"
"SRR15376151_complete_genome_CDS_4051","cloud","1","1"
"SRR15415539_complete_genome_CDS_2490","persistent","173","215"
"SRR15376152_complete_genome_CDS_2231","cloud","1","1"
"SRR3205742_complete_genome_CDS_5276","cloud","6","6"
"SRR2914455_complete_genome_CDS_4385","persistent","175","175"
"SRR2914455_complete_genome_CDS_4417","persistent","175","218"
"SRR2914455_complete_genome_CDS_4449","persistent","175","175"
"SRR2914455_complete_genome_CDS_4481","persistent","174","174"
"SRR2914455_complete_genome_CDS_4545","persistent","175","175"
"SRR2914455_complete_genome_CDS_4577","persistent","175","175"
"SRR2914455_complete_genome_CDS_4609","persistent","175","175"
"SRR2914455_complete_genome_CDS_4641","shell","61","68"
"SRR2914455_complete_genome_CDS_4737","persistent","175","175"
"SRR2914455_complete_genome_CDS_4769","persistent","175","175"
"SRR2914455_complete_genome_CDS_4802","persistent","175","176"
"SRR2914455_complete_genome_CDS_4834","persistent","175","175"
"SRR2914455_complete_genome_CDS_4866","persistent","175","176"
"SRR2914455_complete_genome_CDS_4899","persistent","175","175"
"SRR2914455_complete_genome_CDS_4931","persistent","175","175"
"SRR2914455_complete_genome_CDS_4995","persistent","175","175"
"SRR2914455_complete_genome_CDS_5028","persistent","175","175"
"SRR2914455_complete_genome_CDS_5061","persistent","175","175"
"SRR2914455_complete_genome_CDS_5093","persistent","175","175"
"SRR2914455_complete_genome_CDS_5125","persistent","175","175"
"SRR2914455_complete_genome_CDS_5157","persistent","175","187"
"SRR2914455_complete_genome_CDS_5221","persistent","175","175"
"SRR2914455_complete_genome_CDS_5253","persistent","175","175"
"SRR2914455_complete_genome_CDS_5285","persistent","175","175"
"SRR2914455_complete_genome_CDS_5350","persistent","175","175"
"SRR2914455_complete_genome_CDS_5382","persistent","175","175"
"SRR2914455_complete_genome_CDS_5414","persistent","175","175"
"SRR2914455_complete_genome_CDS_5446","shell","16","16"
"SRR15376144_complete_genome_CDS_0008","persistent","175","175"
"SRR15376144_complete_genome_CDS_0040","persistent","175","175"
"SRR15376144_complete_genome_CDS_0072","persistent","175","175"
"SRR15376144_complete_genome_CDS_0104","persistent","175","175"
"SRR15376144_complete_genome_CDS_0136","shell","61","68"
"SRR15376144_complete_genome_CDS_0168","persistent","175","175"
"SRR15376144_complete_genome_CDS_0200","persistent","174","174"
"SRR15376144_complete_genome_CDS_0232","persistent","175","175"
"SRR15376144_complete_genome_CDS_0296","persistent","175","175"
"SRR15376144_complete_genome_CDS_0328","persistent","175","175"
"SRR15376144_complete_genome_CDS_0360","persistent","175","175"
"SRR15376144_complete_genome_CDS_0392","persistent","175","175"
"SRR15376144_complete_genome_CDS_0424","persistent","175","175"
"SRR15376144_complete_genome_CDS_0456","persistent","175","176"
"SRR15376144_complete_genome_CDS_0488","persistent","175","175"
"SRR15376144_complete_genome_CDS_0520","persistent","175","175"
"SRR15376144_complete_genome_CDS_0554","persistent","175","175"
"SRR15376144_complete_genome_CDS_0586","persistent","175","175"
"SRR15376144_complete_genome_CDS_0618","persistent","175","175"
"SRR15376144_complete_genome_CDS_0650","persistent","175","175"
"SRR15376144_complete_genome_CDS_0682","persistent","175","175"
"SRR15376144_complete_genome_CDS_0714","persistent","175","176"
"SRR15376144_complete_genome_CDS_0746","persistent","175","175"
