Isolate,Stx_type,ggcaller_stx_90%complete
DRR381601,stx_A,3
DRR381601,stx_B,2
DRR381603,stx_A,3
DRR381603,stx_B,1
DRR381607,stx_A,3
DRR381607,stx_B,1
DRR381616,stx_A,3
DRR381616,stx_B,2
DRR381634,stx_A,3
DRR381634,stx_B,2
DRR381635,stx_A,3
DRR381635,stx_B,1
DRR381661,stx_A,3
DRR381661,stx_B,2
DRR381665,stx_A,3
DRR381665,stx_B,2
DRR381669,stx_A,3
DRR381669,stx_B,1
DRR381701,stx_A,3
DRR381701,stx_B,2
DRR381723,stx_A,3
DRR381723,stx_B,2
DRR381735,stx_A,3
DRR381735,stx_B,1
DRR381740,stx_A,3
DRR381740,stx_B,1
DRR381743,stx_A,3
DRR381743,stx_B,1
DRR381744,stx_A,3
DRR381744,stx_B,1
DRR381745,stx_A,3
DRR381745,stx_B,1
DRR381749,stx_A,3
DRR381749,stx_B,1
SRR10119255,stx_A,4
SRR10119255,stx_B,2
SRR10119414,stx_A,3
SRR10119414,stx_B,1
SRR10337442,stx_B,1
SRR10337442,stx_A,1
SRR10506462,stx_A,3
SRR10506462,stx_B,1
SRR10520171,stx_A,4
SRR10520171,stx_B,2
SRR13160357,stx_A,4
SRR13160357,stx_B,2
SRR13160359,stx_A,4
SRR13160359,stx_B,2
SRR13160360,stx_A,3
SRR13160360,stx_B,2
SRR13167188,stx_A,4
SRR13167188,stx_B,2
SRR14419375,stx_A,3
SRR14419375,stx_B,1
SRR14419377,stx_A,4
SRR14419377,stx_B,2
SRR14419381,stx_A,3
SRR14419381,stx_B,2
SRR14419383,stx_A,3
SRR14419383,stx_B,2
SRR14419387,stx_A,3
SRR14419387,stx_B,2
SRR1509643,stx_A,4
SRR1509643,stx_B,3
SRR15277995,stx_A,4
SRR15277995,stx_B,2
SRR15277999,stx_A,4
SRR15277999,stx_B,2
SRR15376141,stx_A,3
SRR15376141,stx_B,2
SRR15376142,stx_A,3
SRR15376142,stx_B,2
SRR15376143,stx_A,3
SRR15376143,stx_B,2
SRR15376145,stx_A,3
SRR15376145,stx_B,2
SRR15376146,stx_A,3
SRR15376146,stx_B,2
SRR15376147,stx_A,3
SRR15376147,stx_B,2
SRR15376149,stx_A,3
SRR15376149,stx_B,2
SRR15376150,stx_A,3
SRR15376150,stx_B,2
SRR15376151,stx_A,3
SRR15376151,stx_B,2
SRR15376152,stx_A,3
SRR15376152,stx_B,1
SRR15376153,stx_A,3
SRR15376153,stx_B,2
SRR15376154,stx_A,3
SRR15376154,stx_B,2
SRR15415532,stx_A,4
SRR15415532,stx_B,2
SRR15415538,stx_A,4
SRR15415538,stx_B,2
SRR15415539,stx_A,4
SRR15415539,stx_B,3
SRR15415540,stx_A,3
SRR15415540,stx_B,1
SRR15415542,stx_A,3
SRR15415542,stx_B,1
SRR15415547,stx_B,1
SRR15415547,stx_A,1
SRR15415549,stx_A,4
SRR15415549,stx_B,2
SRR15415554,stx_A,4
SRR15415554,stx_B,2
SRR15415555,stx_A,3
SRR15415555,stx_B,1
SRR15415556,stx_A,4
SRR15415556,stx_B,2
SRR15415557,stx_A,4
SRR15415557,stx_B,2
SRR15415573,stx_A,4
SRR15415573,stx_B,3
SRR15415574,stx_A,3
SRR15415574,stx_B,1
SRR15415578,stx_A,3
SRR15415578,stx_B,1
SRR15415580,stx_A,3
SRR15415580,stx_B,2
SRR15415610,stx_A,3
SRR15415610,stx_B,1
SRR15415611,stx_A,3
SRR15415611,stx_B,1
SRR15415613,stx_A,4
SRR15415613,stx_B,3
SRR15415621,stx_A,3
SRR15415621,stx_B,1
SRR15415622,stx_A,4
SRR15415622,stx_B,2
SRR15415624,stx_A,3
SRR15415624,stx_B,2
SRR15674630,stx_A,4
SRR15674630,stx_B,2
SRR1714120,stx_A,3
SRR1714120,stx_B,2
SRR23929852,stx_B,1
SRR23929852,stx_A,1
SRR25510170,stx_A,4
SRR25510170,stx_B,2
SRR25523643,stx_A,4
SRR25523643,stx_B,2
SRR25523645,stx_A,4
SRR25523645,stx_B,2
SRR25551086,stx_A,4
SRR25551086,stx_B,2
SRR25603927,stx_A,4
SRR25603927,stx_B,2
SRR25603929,stx_A,4
SRR25603929,stx_B,2
SRR25603930,stx_A,4
SRR25603930,stx_B,2
SRR2914453,stx_A,4
SRR2914453,stx_B,2
SRR2914455,stx_A,4
SRR2914455,stx_B,2
SRR3180501,stx_A,3
SRR3180501,stx_B,2
SRR3180502,stx_A,3
SRR3180502,stx_B,2
SRR3180707,stx_A,3
SRR3180707,stx_B,2
SRR3191403,stx_A,4
SRR3191403,stx_B,2
SRR3195765,stx_A,4
SRR3195765,stx_B,2
SRR3195836,stx_A,3
SRR3195836,stx_B,1
SRR3195839,stx_A,3
SRR3195839,stx_B,1
SRR3195840,stx_A,4
SRR3195840,stx_B,2
SRR3195841,stx_A,3
SRR3195841,stx_B,1
SRR3195851,stx_A,3
SRR3195851,stx_B,1
SRR3195852,stx_A,3
SRR3195852,stx_B,1
SRR3205742,stx_A,4
SRR3205742,stx_B,2
SRR3205757,stx_A,3
SRR3205757,stx_B,2
SRR3224568,stx_A,3
SRR3224568,stx_B,1
SRR3224814,stx_A,4
SRR3224814,stx_B,3
SRR4301494,stx_A,3
SRR4301494,stx_B,1
SRR4301497,stx_A,3
SRR4301497,stx_B,2
SRR4301513,stx_A,4
SRR4301513,stx_B,2
SRR4301514,stx_A,4
SRR4301514,stx_B,3
SRR4301519,stx_A,4
