isolate	scheme	ST	adk	fumC	gyrB	icd	mdh	purA	recA
GCF_000005845.2_ASM584v2	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000007445.1_ASM744v1	ecoli_achtman_4	73	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
GCF_000008865.2_ASM886v2	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_000009565.1_ASM956v1	ecoli_achtman_4	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
GCF_000010245.2_ASM1024v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000010385.1_ASM1038v1	ecoli_achtman_4	156	adk(6)	fumC(29)	gyrB(32)	icd(16)	mdh(11)	purA(8)	recA(44)
GCF_000010485.1_ASM1048v1	ecoli_achtman_4	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
GCF_000010745.1_ASM1074v1	ecoli_achtman_4	17	adk(6)	fumC(4)	gyrB(3)	icd(17)	mdh(7)	purA(7)	recA(6)
GCF_000010765.1_ASM1076v1	ecoli_achtman_4	16	adk(6)	fumC(4)	gyrB(12)	icd(16)	mdh(9)	purA(7)	recA(12)
GCF_000013265.1_ASM1326v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_000013305.1_ASM1330v1	ecoli_achtman_4	127	adk(13)	fumC(14)	gyrB(19)	icd(36)	mdh(23)	purA(11)	recA(10)
GCF_000014845.1_ASM1484v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_000017745.1_ASM1774v1	ecoli_achtman_4	1132	adk(6)	fumC(213)	gyrB(33)	icd(1)	mdh(24)	purA(8)	recA(7)
GCF_000017765.1_ASM1776v1	ecoli_achtman_4	46	adk(8)	fumC(7)	gyrB(1)	icd(8)	mdh(8)	purA(8)	recA(6)
GCF_000017985.1_ASM1798v1	ecoli_achtman_4	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
GCF_000019385.1_ASM1938v1	ecoli_achtman_4	3021	adk(8)	fumC(7)	gyrB(4)	icd(8)	mdh(8)	purA(18)	recA(233)
GCF_000019425.1_ASM1942v1	ecoli_achtman_4	1060	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(128)
GCF_000019645.1_ASM1964v1	ecoli_achtman_4	354	adk(85)	fumC(88)	gyrB(78)	icd(29)	mdh(59)	purA(58)	recA(62)
GCF_000021125.1_ASM2112v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_000022225.1_ASM2222v1	ecoli_achtman_4	11	adk(12)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_000022345.1_ASM2234v1	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000022665.1_ASM2266v1	ecoli_achtman_4	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
GCF_000023365.1_ASM2336v1	ecoli_achtman_4	1060	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(128)
GCF_000023665.1_ASM2366v1	ecoli_achtman_4	93	adk(6)	fumC(11)	gyrB(4)	icd(10)	mdh(7)	purA(8)	recA(6)
GCF_000025165.1_ASM2516v1	ecoli_achtman_4	335	adk(29)	fumC(12)	gyrB(8)	icd(12)	mdh(15)	purA(2)	recA(2)
GCF_000025745.1_ASM2574v1	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_000026245.1_ASM2624v1	ecoli_achtman_4	678	adk(6)	fumC(6)	gyrB(5)	icd(136)	mdh(9)	purA(7)	recA(7)
GCF_000026265.1_ASM2626v1	ecoli_achtman_4	1128	adk(9)	fumC(65)	gyrB(5)	icd(1)	mdh(9)	purA(8)	recA(6)
GCF_000026285.1_ASM2628v2	ecoli_achtman_4	95	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(17)	purA(11)	recA(26)
GCF_000026345.1_ASM2634v1	ecoli_achtman_4	62	adk(28)	fumC(33)	gyrB(25)	icd(29)	mdh(7)	purA(11)	recA(24)
GCF_000026545.1_ASM2654v1	ecoli_achtman_4	15	adk(15)	fumC(15)	gyrB(11)	icd(15)	mdh(18)	purA(11)	recA(11)
GCF_000027125.1_ASM2712v1	ecoli_achtman_4	414	adk(18)	fumC(22)	gyrB(20)	icd(23)	mdh(5)	purA(15)	recA(4)
GCF_000091005.1_ASM9100v1	ecoli_achtman_4	21	adk(16)	fumC(4)	gyrB(12)	icd(16)	mdh(9)	purA(7)	recA(7)
GCF_000148365.1_ASM14836v1	ecoli_achtman_4	73	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
GCF_000148605.1_ASM14860v1	ecoli_achtman_4	643	adk(37)	fumC(38)	gyrB(19)	icd(37)	mdh(95)	purA(11)	recA(26)
GCF_000167875.2_ASM16787v2	ecoli_achtman_4	381	adk(6)	fumC(4)	gyrB(12)	icd(92)	mdh(24)	purA(18)	recA(7)
GCF_000183345.1_ASM18334v1	ecoli_achtman_4	135	adk(13)	fumC(39)	gyrB(50)	icd(13)	mdh(16)	purA(37)	recA(25)
GCF_000184185.1_ASM18418v1	ecoli_achtman_4	1079	adk(6)	fumC(19)	gyrB(14)	icd(16)	mdh(11)	purA(12)	recA(2)
GCF_000210475.1_ASM21047v1	ecoli_achtman_4	48	adk(6)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
GCF_000212715.2_ASM21271v2	ecoli_achtman_4	100	adk(10)	fumC(27)	gyrB(5)	icd(10)	mdh(12)	purA(9)	recA(2)
GCF_000219515.2_ASM21951v3	ecoli_achtman_4	5147	adk(154)	fumC(187)	gyrB(22)	icd(52)	mdh(180)	purA(129)	recA(19)
GCF_000220005.1_ASM22000v2	ecoli_achtman_4	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
