"Gene","Non-unique Gene name","No. isolates","No. sequences"
"SRR6929617_assembly_CDS_3096","persistent","175","175"
"SRR6929617_assembly_CDS_3128","persistent","175","175"
"SRR6929617_assembly_CDS_3160","persistent","175","175"
"SRR6929617_assembly_CDS_3384","shell","165","165"
"SRR6929617_assembly_CDS_3416","persistent","169","172"
"DRR381743_assembly_CDS_4491","persistent","175","175"
"DRR381743_assembly_CDS_4587","persistent","175","175"
"DRR381743_assembly_CDS_4715","shell","107","107"
"SRR15415573_assembly_CDS_0214","persistent","174","174"
"SRR15415573_assembly_CDS_0246","persistent","175","175"
"SRR15415573_assembly_CDS_0278","persistent","175","175"
"SRR15415573_assembly_CDS_0470","persistent","175","175"
"SRR15415573_assembly_CDS_0502","persistent","175","175"
"SRR15415573_assembly_CDS_0534","persistent","175","175"
"SRR15415573_assembly_CDS_0566","persistent","175","175"
"SRR15415573_assembly_CDS_0726","persistent","175","175"
"SRR15415573_assembly_CDS_0758","persistent","175","175"
"SRR15415573_assembly_CDS_0790","persistent","175","175"
"SRR15415573_assembly_CDS_0822","persistent","175","175"
"SRR15415573_assembly_CDS_0950","persistent","175","175"
"SRR15415573_assembly_CDS_1111","persistent","175","175"
"SRR15415573_assembly_CDS_1143","persistent","175","177"
"SRR15415573_assembly_CDS_1207","persistent","175","175"
"SRR15415573_assembly_CDS_2456","persistent","175","175"
"SRR15415578_assembly_CDS_2075","persistent","175","175"
"SRR15415578_assembly_CDS_2236","shell","56","86"
"SRR15415578_assembly_CDS_2428","persistent","175","175"
"SRR15415578_assembly_CDS_2652","persistent","175","175"
"SRR15415578_assembly_CDS_2684","persistent","175","175"
"SRR15415578_assembly_CDS_2748","persistent","175","175"
"SRR15415578_assembly_CDS_2844","persistent","175","175"
"SRR15415578_assembly_CDS_2972","persistent","175","175"
"SRR15415578_assembly_CDS_3260","persistent","175","175"
"SRR15415578_assembly_CDS_3420","persistent","175","175"
"SRR15415578_assembly_CDS_3676","cloud","6","6"
"SRR15415578_assembly_CDS_3804","shell","112","112"
"SRR15415578_assembly_CDS_3964","shell","112","112"
"SRR15415578_assembly_CDS_3996","shell","156","282"
"SRR15415578_assembly_CDS_4060","shell","123","123"
"SRR15415578_assembly_CDS_4156","persistent","175","175"
"SRR15415578_assembly_CDS_4188","cloud","2","2"
"SRR15415578_assembly_CDS_4508","persistent","175","175"
"SRR15415578_assembly_CDS_4604","persistent","173","173"
"SRR15415578_assembly_CDS_4764","cloud","5","5"
"SRR6929626_assembly_CDS_4360","persistent","171","175"
"SRR6929626_assembly_CDS_4712","shell","162","170"
"SRR6929626_assembly_CDS_4840","shell","102","102"
"SRR15415555_assembly_CDS_0376","persistent","175","175"
"SRR15415555_assembly_CDS_0600","persistent","175","175"
"SRR15415555_assembly_CDS_0792","persistent","169","169"
"SRR15415555_assembly_CDS_0888","persistent","175","175"
"SRR15415555_assembly_CDS_1209","persistent","175","175"
"SRR15415555_assembly_CDS_1242","persistent","175","175"
"SRR15415555_assembly_CDS_1754","persistent","175","175"
"SRR15415555_assembly_CDS_1818","persistent","175","175"
"SRR15415555_assembly_CDS_2202","persistent","175","175"
"SRR15415555_assembly_CDS_2362","persistent","175","175"
"SRR15415555_assembly_CDS_2426","persistent","175","175"
"SRR6929629_assembly_CDS_0584","shell","57","57"
"SRR6929629_assembly_CDS_0616","shell","58","60"
"SRR6929629_assembly_CDS_1032","persistent","175","175"
"SRR6929629_assembly_CDS_1064","persistent","175","175"
"SRR6929629_assembly_CDS_1192","shell","62","62"
"SRR6929629_assembly_CDS_1544","persistent","175","175"
"SRR6929629_assembly_CDS_1576","persistent","175","175"
"SRR6929629_assembly_CDS_3273","persistent","174","174"
"SRR6929613_assembly_CDS_1373","persistent","175","175"
"SRR6929613_assembly_CDS_1405","persistent","175","175"
"SRR6929613_assembly_CDS_1501","persistent","174","174"
"SRR15415542_assembly_CDS_1961","persistent","175","175"
"SRR15415542_assembly_CDS_2025","persistent","175","175"
"SRR15415542_assembly_CDS_2057","persistent","175","175"
"SRR15415542_assembly_CDS_2313","persistent","175","175"
"SRR15415542_assembly_CDS_2505","persistent","174","174"
"SRR15415542_assembly_CDS_2697","persistent","175","175"
"SRR15415542_assembly_CDS_3177","persistent","175","175"
"SRR15415542_assembly_CDS_3785","persistent","175","175"
"SRR15415542_assembly_CDS_3818","persistent","175","175"
"SRR15415542_assembly_CDS_4362","shell","44","44"
"SRR15415542_assembly_CDS_4426","persistent","174","174"
"SRR15415622_assembly_CDS_4620","persistent","170","170"
"SRR15415622_assembly_CDS_4652","shell","160","161"
"SRR15376150_assembly_CDS_0015","shell","165","165"
"SRR15376150_assembly_CDS_1904","cloud","8","8"
"SRR4301525_assembly_CDS_2593","persistent","175","175"
"SRR4301525_assembly_CDS_3171","persistent","175","175"
"SRR4301525_assembly_CDS_3299","shell","61","61"
"SRR4301525_assembly_CDS_4771","shell","26","26"
"SRR15277999_assembly_CDS_4330","shell","47","47"
"SRR15277999_assembly_CDS_4618","shell","115","115"
"SRR15376151_assembly_CDS_3072","cloud","1","1"
"SRR15376151_assembly_CDS_3136","persistent","175","175"
"SRR15376151_assembly_CDS_4288","cloud","4","4"
"SRR15376151_assembly_CDS_4448","shell","164","165"
"SRR6929615_assembly_CDS_0813","persistent","175","175"
"SRR6929615_assembly_CDS_0845","persistent","175","175"
"SRR6929619_assembly_CDS_0497","shell","58","58"
"SRR6929619_assembly_CDS_0529","shell","57","58"
"SRR4301555_assembly_CDS_3589","cloud","5","5"
"SRR4301555_assembly_CDS_3621","cloud","6","6"
"SRR4301555_assembly_CDS_4709","cloud","1","1"
"SRR4301579_assembly_CDS_4201","cloud","5","5"
"SRR4301579_assembly_CDS_4489","cloud","6","6"
"SRR4301579_assembly_CDS_4905","cloud","10","10"
"SRR6929639_assembly_CDS_4696","shell","46","46"
"SRR6929639_assembly_CDS_4728","shell","151","151"
"DRR381607_assembly_CDS_1975","shell","12","12"
"DRR381607_assembly_CDS_3223","shell","102","102"
"SRR6929608_assembly_CDS_2071","cloud","6","6"
"SRR6929608_assembly_CDS_3287","shell","104","104"
"SRR6118141_assembly_CDS_4263","shell","158","170"
"SRR6929616_assembly_CDS_2665","shell","14","14"
"SRR6929616_assembly_CDS_4009","shell","46","46"
"SRR6929612_assembly_CDS_0069","shell","58","60"
"SRR4301564_assembly_CDS_4904","shell","24","24"
"SRR6929615_assembly_CDS_2191","shell","48","48"
"SRR4301569_assembly_CDS_4812","shell","43","43"
"SRR4301571_assembly_CDS_4856","shell","26","26"
"SRR4301579_assembly_CDS_1192","shell","59","63"
"SRR13167188_assembly_CDS_4672","shell","15","15"
"SRR6929624_assembly_CDS_1759","shell","56","56"
"SRR15415610_assembly_CDS_4117","cloud","7","7"
"SRR2914453_assembly_CDS_3641","shell","21","21"
"SRR2914453_assembly_CDS_3929","persistent","175","178"
"SRR6929622_assembly_CDS_4500","shell","20","20"
"SRR6929622_assembly_CDS_4980","cloud","3","3"
"SRR15376144_assembly_CDS_4466","cloud","10","10"
"SRR4301562_assembly_CDS_4665","cloud","6","6"
"SRR14419377_assembly_CDS_4691","cloud","6","6"
"SRR15415532_assembly_CDS_4562","cloud","5","5"
"SRR3195841_assembly_CDS_4382","shell","166","166"
"SRR3195841_assembly_CDS_4638","cloud","6","6"
"SRR15376153_assembly_CDS_4539","shell","153","206"
"SRR15415580_assembly_CDS_4883","shell","33","33"
"SRR4301571_assembly_CDS_3481","cloud","2","3"
"SRR4301571_assembly_CDS_3545","cloud","2","2"
"SRR14419379_assembly_CDS_2688","cloud","5","5"
"SRR15415620_assembly_CDS_2663","shell","11","11"
"SRR15415620_assembly_CDS_2919","cloud","1","1"
"SRR15415620_assembly_CDS_3623","cloud","10","10"
"SRR15415620_assembly_CDS_3815","cloud","2","2"
"SRR15415620_assembly_CDS_4007","cloud","3","3"
"SRR15415620_assembly_CDS_4679","cloud","1","1"
"SRR15415574_assembly_CDS_0199","persistent","175","175"
"SRR15415574_assembly_CDS_2215","cloud","2","2"
"SRR15415540_assembly_CDS_2749","cloud","2","2"
"SRR15415532_assembly_CDS_4468","cloud","3","3"
"DRR381635_assembly_CDS_4774","cloud","1","1"
"DRR381740_assembly_CDS_4715","persistent","175","500"
"SRR15277995_assembly_CDS_3838","shell","24","24"
"SRR4301544_assembly_CDS_4912","cloud","1","2"
"SRR14419379_assembly_CDS_3750","cloud","9","9"
"SRR23929852_assembly_CDS_2634","persistent","171","172"
"SRR15415624_assembly_CDS_4048","cloud","2","2"
"SRR15415621_assembly_CDS_3643","cloud","5","5"
"SRR6929605_assembly_CDS_4498","cloud","1","1"
"SRR15415574_assembly_CDS_2860","cloud","2","2"
"SRR15415574_assembly_CDS_3500","shell","141","237"
"SRR15415574_assembly_CDS_3596","shell","65","66"
"SRR4301571_assembly_CDS_3519","cloud","2","2"
"SRR4301571_assembly_CDS_3551","cloud","2","2"
"SRR3195836_assembly_CDS_1110","persistent","175","175"
"SRR15415621_assembly_CDS_3644","cloud","5","5"
"SRR15415621_assembly_CDS_3676","cloud","4","4"
"SRR15415620_assembly_CDS_0235","cloud","1","1"
"SRR15415620_assembly_CDS_0267","cloud","1","1"
"SRR15415620_assembly_CDS_0299","cloud","1","1"
"SRR15415620_assembly_CDS_0587","cloud","2","2"
"SRR15415574_assembly_CDS_4653","cloud","1","1"
"SRR15415574_assembly_CDS_4717","cloud","1","1"
"SRR15415574_assembly_CDS_4846","cloud","7","7"
"SRR13160359_assembly_CDS_4655","cloud","1","1"
"SRR15415578_assembly_CDS_3943","cloud","1","1"
"SRR9994125_assembly_CDS_4635","cloud","2","2"
"SRR4301513_assembly_CDS_4020","cloud","1","1"
"SRR4301571_assembly_CDS_1409","shell","125","125"
"SRR4301497_assembly_CDS_4495","cloud","1","1"
"SRR15415620_assembly_CDS_2928","cloud","1","1"
"SRR15415620_assembly_CDS_3504","cloud","3","3"
"SRR15415620_assembly_CDS_3728","cloud","1","1"
"SRR15415620_assembly_CDS_4112","cloud","2","2"
"SRR15415574_assembly_CDS_4272","cloud","2","2"
"SRR15415574_assembly_CDS_4624","cloud","1","1"
"SRR15415574_assembly_CDS_4784","cloud","1","1"
"SRR15415574_assembly_CDS_4817","cloud","1","1"
"SRR4301548_assembly_CDS_3193","cloud","3","3"
"SRR4301548_assembly_CDS_3257","cloud","5","5"
"SRR4301514_assembly_CDS_1507","cloud","2","2"
"SRR4301514_assembly_CDS_1539","cloud","2","2"
"SRR4301514_assembly_CDS_1571","cloud","2","2"
"SRR6929611_assembly_CDS_4529","cloud","2","2"
"SRR3180501_assembly_CDS_4722","shell","118","118"
"SRR4301555_assembly_CDS_4723","persistent","173","181"
"SRR15415573_assembly_CDS_4487","shell","59","59"
"SRR15415573_assembly_CDS_4583","persistent","175","175"
"SRR14419377_assembly_CDS_2943","cloud","1","1"
"SRR13160360_assembly_CDS_3176","cloud","5","5"
"SRR13160360_assembly_CDS_4041","cloud","3","3"
"DRR381701_assembly_CDS_1679","persistent","175","175"
"SRR4301562_assembly_CDS_3239","cloud","2","2"
"SRR15415620_assembly_CDS_2196","cloud","2","2"
"SRR15415620_assembly_CDS_2932","cloud","1","1"
"SRR15415620_assembly_CDS_4116","cloud","1","1"
"SRR15415620_assembly_CDS_4532","cloud","2","2"
"SRR4301548_assembly_CDS_4861","shell","142","142"
"SRR10520171_assembly_CDS_4009","cloud","1","1"
"SRR15415613_assembly_CDS_3144","cloud","2","2"
"SRR3195765_assembly_CDS_4782","cloud","5","5"
"SRR15415611_assembly_CDS_2586","cloud","1","1"
"SRR4301514_assembly_CDS_1516","cloud","2","2"
"SRR4301514_assembly_CDS_1548","cloud","2","2"
"SRR4301544_assembly_CDS_4703","cloud","1","1"
"SRR15415532_assembly_CDS_4583","cloud","1","1"
"SRR15415539_assembly_CDS_4794","cloud","1","1"
"SRR6929611_assembly_CDS_4092","cloud","1","1"
"SRR6929611_assembly_CDS_4572","cloud","2","2"
"SRR4301513_assembly_CDS_3810","cloud","3","3"
"SRR4301513_assembly_CDS_4002","cloud","3","3"
"SRR3224814_assembly_CDS_3412","cloud","1","1"
"SRR13160357_assembly_CDS_3325","cloud","1","1"
"SRR13160357_assembly_CDS_3327","cloud","1","1"
"SRR15415540_assembly_CDS_2644","cloud","2","2"
"SRR9694420_assembly_CDS_2922","cloud","2","2"
"SRR15415538_assembly_CDS_3874","cloud","1","1"
"SRR15415538_assembly_CDS_4322","cloud","1","1"
"SRR15415538_assembly_CDS_4706","cloud","1","1"
"SRR4301514_assembly_CDS_1523","cloud","2","2"
"SRR14419387_assembly_CDS_4796","persistent","171","171"
"SRR6929631_assembly_CDS_4803","cloud","1","1"
"SRR15415542_assembly_CDS_0711","cloud","2","2"
"SRR15415542_assembly_CDS_0743","cloud","2","2"
"SRR15415542_assembly_CDS_0775","cloud","2","2"
"SRR15415574_assembly_CDS_1346","cloud","3","3"
"SRR6929627_assembly_CDS_3631","persistent","175","175"
"SRR6929627_assembly_CDS_3663","persistent","174","174"
"SRR6929627_assembly_CDS_3695","persistent","175","175"
"SRR6929627_assembly_CDS_3727","shell","153","153"
"SRR6929627_assembly_CDS_3759","persistent","172","172"
"SRR6929627_assembly_CDS_3791","persistent","175","175"
"SRR6929627_assembly_CDS_3824","persistent","175","175"
"SRR6929627_assembly_CDS_3856","persistent","175","175"
"SRR6929627_assembly_CDS_3888","persistent","173","174"
"SRR6929627_assembly_CDS_3952","persistent","175","175"
"SRR6929627_assembly_CDS_3984","persistent","175","175"
"SRR6929627_assembly_CDS_4016","shell","163","163"
"SRR6929627_assembly_CDS_4048","persistent","175","175"
"SRR6929627_assembly_CDS_4080","persistent","173","173"
"SRR6929627_assembly_CDS_4112","persistent","170","501"
"SRR6929627_assembly_CDS_4144","shell","142","150"
"SRR6929627_assembly_CDS_4176","persistent","175","175"
"SRR6929627_assembly_CDS_4208","persistent","175","175"
"SRR6929627_assembly_CDS_4240","persistent","172","172"
"SRR6929627_assembly_CDS_4272","persistent","175","175"
"SRR6929627_assembly_CDS_4304","persistent","175","175"
"SRR6929627_assembly_CDS_4336","persistent","175","175"
"SRR6929627_assembly_CDS_4368","shell","169","169"
"SRR6929627_assembly_CDS_4432","persistent","175","175"
"SRR6929627_assembly_CDS_4528","persistent","173","181"
"SRR6929627_assembly_CDS_4560","shell","168","304"
"SRR6929627_assembly_CDS_4592","persistent","175","552"
"SRR6929627_assembly_CDS_4624","shell","111","130"
"SRR6929627_assembly_CDS_4752","shell","150","150"
"SRR6929627_assembly_CDS_4784","persistent","175","175"
"SRR6929627_assembly_CDS_4816","shell","137","139"
"SRR6929627_assembly_CDS_4881","shell","108","133"
"SRR3195836_assembly_CDS_0044","persistent","175","175"
"SRR3195836_assembly_CDS_0108","persistent","175","175"
"SRR3195836_assembly_CDS_0140","persistent","175","175"
"SRR3195836_assembly_CDS_0172","persistent","175","175"
"SRR3195836_assembly_CDS_0236","persistent","175","175"
"SRR3195836_assembly_CDS_0268","persistent","175","180"
"SRR3195836_assembly_CDS_0364","persistent","175","175"
"SRR3195836_assembly_CDS_0396","persistent","175","175"
"SRR3195836_assembly_CDS_0428","persistent","175","175"
"SRR3195836_assembly_CDS_0460","persistent","175","175"
"SRR3195836_assembly_CDS_0492","persistent","175","175"
"SRR3195836_assembly_CDS_0588","persistent","175","175"
"SRR3195836_assembly_CDS_0620","persistent","175","175"
"SRR3195836_assembly_CDS_0652","persistent","175","175"
"SRR3195836_assembly_CDS_0684","persistent","175","175"
"SRR3195836_assembly_CDS_0716","persistent","175","175"
"SRR3195836_assembly_CDS_0748","persistent","175","175"
"SRR3195836_assembly_CDS_1036","persistent","175","175"
"SRR3195836_assembly_CDS_1068","persistent","175","175"
"SRR3195836_assembly_CDS_1100","persistent","175","175"
"SRR3195836_assembly_CDS_1132","persistent","175","175"
"SRR3195836_assembly_CDS_1196","persistent","175","175"
"SRR3195836_assembly_CDS_1229","persistent","175","175"
"SRR3195836_assembly_CDS_1261","persistent","175","175"
"SRR3195836_assembly_CDS_1293","persistent","175","176"
"SRR3195836_assembly_CDS_1325","persistent","175","175"
"SRR3195836_assembly_CDS_1357","persistent","175","175"
"SRR3195836_assembly_CDS_1389","persistent","175","175"
"SRR3195836_assembly_CDS_1421","persistent","173","173"
"SRR3195836_assembly_CDS_1453","persistent","175","175"
"SRR3195836_assembly_CDS_1485","persistent","175","175"
"SRR3195836_assembly_CDS_1517","persistent","175","175"
"SRR3195836_assembly_CDS_1549","persistent","175","175"
"SRR3195836_assembly_CDS_1613","persistent","175","175"
"SRR3195836_assembly_CDS_1645","persistent","175","175"
"SRR3195836_assembly_CDS_1677","persistent","175","175"
"SRR3195836_assembly_CDS_1709","persistent","175","175"
"SRR3195836_assembly_CDS_1741","persistent","175","175"
"SRR3195836_assembly_CDS_1773","persistent","175","175"
"SRR3195836_assembly_CDS_1805","persistent","175","175"
"SRR3195836_assembly_CDS_1837","persistent","174","174"
"SRR3195836_assembly_CDS_1869","shell","163","163"
"SRR3180707_assembly_CDS_3139","persistent","175","175"
"SRR3180707_assembly_CDS_3267","persistent","175","175"
"SRR3180707_assembly_CDS_3299","persistent","174","174"
"SRR3180707_assembly_CDS_3331","persistent","175","175"
"SRR3180707_assembly_CDS_3363","persistent","172","172"
"SRR3180707_assembly_CDS_3619","persistent","175","175"
"SRR3180707_assembly_CDS_3652","persistent","175","175"
"SRR3180707_assembly_CDS_3780","persistent","175","175"
"SRR3180707_assembly_CDS_3844","persistent","175","175"
"SRR3180707_assembly_CDS_3876","persistent","170","170"
"SRR3180707_assembly_CDS_3908","persistent","175","175"
"SRR3180707_assembly_CDS_3940","persistent","175","175"
"SRR3180707_assembly_CDS_3972","persistent","174","174"
"SRR3180707_assembly_CDS_4004","shell","59","60"
"SRR3180707_assembly_CDS_4036","persistent","175","181"
"SRR3180707_assembly_CDS_4132","persistent","175","175"
"SRR3180707_assembly_CDS_4164","persistent","175","175"
"SRR3180707_assembly_CDS_4196","shell","38","38"
"SRR3180707_assembly_CDS_4228","persistent","172","172"
"SRR3180707_assembly_CDS_4292","persistent","175","175"
"SRR3180707_assembly_CDS_4324","persistent","175","175"
"SRR3180707_assembly_CDS_4356","shell","151","151"
"SRR3180707_assembly_CDS_4388","persistent","174","197"
"SRR3180707_assembly_CDS_4420","persistent","172","172"
"SRR3180707_assembly_CDS_4452","persistent","175","175"
"SRR3180707_assembly_CDS_4484","persistent","170","170"
"SRR3180707_assembly_CDS_4516","persistent","175","175"
"SRR3180707_assembly_CDS_4548","persistent","171","171"
"SRR3180707_assembly_CDS_4580","shell","17","17"
"SRR3180707_assembly_CDS_4612","persistent","174","188"
"SRR3180707_assembly_CDS_4644","shell","145","213"
"SRR3180707_assembly_CDS_4676","persistent","172","173"
"SRR3180707_assembly_CDS_4708","persistent","175","327"
"SRR3180707_assembly_CDS_4740","shell","135","145"
"SRR3180707_assembly_CDS_4836","shell","40","40"
"SRR3180707_assembly_CDS_4900","shell","167","173"
"SRR3180707_assembly_CDS_4932","shell","164","164"
"SRR6929624_assembly_CDS_0027","persistent","175","175"
"SRR6929624_assembly_CDS_0059","persistent","175","175"
"SRR6929624_assembly_CDS_0091","persistent","175","175"
"SRR6929624_assembly_CDS_0187","persistent","172","172"
"SRR6929624_assembly_CDS_0315","persistent","175","175"
"SRR6929624_assembly_CDS_0347","persistent","175","175"
"SRR6929624_assembly_CDS_0379","persistent","175","175"
"SRR6929624_assembly_CDS_0411","shell","155","155"
"SRR6929624_assembly_CDS_0443","persistent","174","174"
"SRR6929624_assembly_CDS_0507","persistent","175","176"
"SRR6929624_assembly_CDS_0539","persistent","175","175"
"SRR6929624_assembly_CDS_0571","persistent","171","321"
"SRR6929624_assembly_CDS_0636","shell","55","55"
"SRR6929624_assembly_CDS_0668","persistent","175","175"
"SRR6929624_assembly_CDS_0700","persistent","175","175"
"SRR6929624_assembly_CDS_0732","persistent","175","175"
"SRR6929624_assembly_CDS_0764","persistent","175","175"
"SRR6929624_assembly_CDS_0796","persistent","175","175"
"SRR6929624_assembly_CDS_0828","persistent","175","175"
"SRR6929624_assembly_CDS_0860","persistent","175","177"
"SRR6929624_assembly_CDS_0892","persistent","173","173"
"SRR6929624_assembly_CDS_1020","persistent","175","175"
"SRR6929624_assembly_CDS_1052","persistent","175","175"
"SRR6929624_assembly_CDS_1181","persistent","175","175"
"SRR6929624_assembly_CDS_1213","persistent","175","175"
"SRR6929624_assembly_CDS_1245","persistent","175","175"
"SRR6929624_assembly_CDS_1277","persistent","175","175"
"SRR6929624_assembly_CDS_1309","persistent","175","175"
"SRR6929614_assembly_CDS_3715","persistent","175","175"
"SRR6929614_assembly_CDS_3843","persistent","175","175"
"SRR6929614_assembly_CDS_3875","persistent","175","175"
"SRR6929614_assembly_CDS_4003","persistent","175","175"
"SRR6929614_assembly_CDS_4035","persistent","175","176"
"SRR6929614_assembly_CDS_4067","cloud","7","7"
"SRR6929614_assembly_CDS_4131","persistent","175","175"
"SRR6929614_assembly_CDS_4164","persistent","175","175"
"SRR6929614_assembly_CDS_4356","persistent","175","175"
"SRR6929614_assembly_CDS_4484","persistent","175","183"
"SRR6929614_assembly_CDS_4516","persistent","175","175"
"SRR6929614_assembly_CDS_4548","shell","120","134"
"SRR6929614_assembly_CDS_4708","shell","94","94"
"SRR6929614_assembly_CDS_4868","shell","142","197"
"SRR6929614_assembly_CDS_4901","shell","41","41"
"SRR6929614_assembly_CDS_4933","shell","157","283"
"SRR6929610_assembly_CDS_0043","persistent","175","175"
"SRR6929610_assembly_CDS_0587","persistent","175","175"
"SRR6929610_assembly_CDS_0811","persistent","175","175"
"SRR6929610_assembly_CDS_0843","persistent","175","175"
"SRR6929610_assembly_CDS_1004","persistent","175","175"
"SRR6929610_assembly_CDS_1292","persistent","175","175"
"SRR6929610_assembly_CDS_1324","persistent","175","175"
"SRR6929610_assembly_CDS_1356","persistent","175","175"
"SRR6929610_assembly_CDS_1388","persistent","174","174"
"SRR6929610_assembly_CDS_1676","persistent","175","175"
"SRR6929610_assembly_CDS_1708","persistent","175","175"
"SRR6929610_assembly_CDS_1740","persistent","175","175"
"SRR15415610_assembly_CDS_2771","persistent","175","175"
"SRR15415610_assembly_CDS_2803","persistent","175","175"
"SRR15415610_assembly_CDS_2835","shell","19","19"
"SRR15415610_assembly_CDS_2995","persistent","175","175"
"SRR15415610_assembly_CDS_3091","persistent","175","175"
"SRR15415610_assembly_CDS_3219","persistent","174","174"
"SRR15415610_assembly_CDS_3443","persistent","175","175"
"SRR15415610_assembly_CDS_3571","persistent","175","175"
"SRR15415610_assembly_CDS_3635","persistent","175","175"
"SRR15415610_assembly_CDS_3667","persistent","175","175"
"SRR15415610_assembly_CDS_3795","shell","25","25"
"SRR15415610_assembly_CDS_3859","persistent","175","175"
"SRR15415610_assembly_CDS_3923","shell","78","78"
"SRR15415610_assembly_CDS_4019","cloud","10","10"
"SRR15415610_assembly_CDS_4115","shell","72","95"
"SRR15415610_assembly_CDS_4179","shell","124","124"
"SRR15415610_assembly_CDS_4211","persistent","172","175"
"SRR15415610_assembly_CDS_4403","shell","125","125"
"SRR15415610_assembly_CDS_4563","shell","143","143"
"SRR15415610_assembly_CDS_4659","shell","106","125"
"SRR13160359_assembly_CDS_0066","persistent","175","175"
"SRR13160359_assembly_CDS_0418","persistent","171","172"
"SRR13160359_assembly_CDS_0482","persistent","175","175"
"SRR13160359_assembly_CDS_0514","persistent","175","175"
"SRR13160359_assembly_CDS_0546","persistent","175","175"
"SRR13160359_assembly_CDS_0578","persistent","175","175"
"SRR13160359_assembly_CDS_0610","persistent","175","175"
"SRR13160359_assembly_CDS_0770","persistent","175","175"
"SRR13160359_assembly_CDS_0930","persistent","175","175"
"SRR13160359_assembly_CDS_1122","persistent","175","175"
