"Isolate","Stx_type","virulencefinder_stx_complete","contig_stx_blast_assembly","fragmentation_status","Tool","complete_genomes","stx_value","stx_profile","TP","FP","FN"
"DRR381601","stx_A",1,1,"Complete stx","BAKTA",0,1,"stx2a",1,0,0
"DRR381601","stx_B",1,1,"Complete stx","BAKTA",0,1,"stx2a",1,0,0
"DRR381601","stx_A",1,1,"Complete stx","BAKTA",100,1,"stx2a",1,0,0
"DRR381601","stx_B",1,1,"Complete stx","BAKTA",100,1,"stx2a",1,0,0
"DRR381601","stx_A",1,1,"Complete stx","PPanGGOLiN",0,1,"stx2a",1,0,0
"DRR381601","stx_B",1,1,"Complete stx","PPanGGOLiN",0,1,"stx2a",1,0,0
"DRR381601","stx_A",1,1,"Complete stx","PPanGGOLiN",11,1,"stx2a",1,0,0
"DRR381601","stx_B",1,1,"Complete stx","PPanGGOLiN",11,1,"stx2a",1,0,0
"DRR381601","stx_A",1,1,"Complete stx","PPanGGOLiN",50,1,"stx2a",1,0,0
"DRR381601","stx_B",1,1,"Complete stx","PPanGGOLiN",50,1,"stx2a",1,0,0
"DRR381601","stx_A",1,1,"Complete stx","PPanGGOLiN",89,1,"stx2a",1,0,0
"DRR381601","stx_B",1,1,"Complete stx","PPanGGOLiN",89,1,"stx2a",1,0,0
"DRR381601","stx_A",1,1,"Complete stx","PPanGGOLiN",100,1,"stx2a",1,0,0
"DRR381601","stx_B",1,1,"Complete stx","PPanGGOLiN",100,1,"stx2a",1,0,0
"DRR381601","stx_A",1,1,"Complete stx","Panaroo",0,1,"stx2a",1,0,0
"DRR381601","stx_B",1,1,"Complete stx","Panaroo",0,1,"stx2a",1,0,0
"DRR381601","stx_A",1,1,"Complete stx","Panaroo",11,1,"stx2a",1,0,0
"DRR381601","stx_B",1,1,"Complete stx","Panaroo",11,1,"stx2a",1,0,0
"DRR381601","stx_A",1,1,"Complete stx","Panaroo",50,1,"stx2a",1,0,0
"DRR381601","stx_B",1,1,"Complete stx","Panaroo",50,1,"stx2a",1,0,0
"DRR381601","stx_A",1,1,"Complete stx","Panaroo",89,1,"stx2a",1,0,0
"DRR381601","stx_B",1,1,"Complete stx","Panaroo",89,1,"stx2a",1,0,0
"DRR381601","stx_A",1,1,"Complete stx","Panaroo",100,1,"stx2a",1,0,0
"DRR381601","stx_B",1,1,"Complete stx","Panaroo",100,1,"stx2a",1,0,0
"DRR381601","stx_A",1,1,"Complete stx","ggCaller",0,1,"stx2a",1,0,0
"DRR381601","stx_B",1,1,"Complete stx","ggCaller",0,1,"stx2a",1,0,0
"DRR381601","stx_A",1,1,"Complete stx","ggCaller",11,1,"stx2a",1,0,0
"DRR381601","stx_B",1,1,"Complete stx","ggCaller",11,1,"stx2a",1,0,0
"DRR381601","stx_A",1,1,"Complete stx","ggCaller",50,3,"stx2a",1,2,0
"DRR381601","stx_B",1,1,"Complete stx","ggCaller",50,2,"stx2a",1,1,0
"DRR381601","stx_A",1,1,"Complete stx","ggCaller",89,3,"stx2a",1,2,0
"DRR381601","stx_B",1,1,"Complete stx","ggCaller",89,2,"stx2a",1,1,0
"DRR381601","stx_A",1,1,"Complete stx","ggCaller",100,3,"stx2a",1,2,0
"DRR381601","stx_B",1,1,"Complete stx","ggCaller",100,2,"stx2a",1,1,0
"DRR381603","stx_A",1,1,"Complete stx","BAKTA",0,1,"stx2a",1,0,0
"DRR381603","stx_B",1,1,"Complete stx","BAKTA",0,1,"stx2a",1,0,0
"DRR381603","stx_A",1,1,"Complete stx","BAKTA",100,1,"stx2a",1,0,0
"DRR381603","stx_B",1,1,"Complete stx","BAKTA",100,1,"stx2a",1,0,0
"DRR381603","stx_A",1,1,"Complete stx","PPanGGOLiN",0,1,"stx2a",1,0,0
"DRR381603","stx_B",1,1,"Complete stx","PPanGGOLiN",0,1,"stx2a",1,0,0
"DRR381603","stx_A",1,1,"Complete stx","PPanGGOLiN",11,1,"stx2a",1,0,0
"DRR381603","stx_B",1,1,"Complete stx","PPanGGOLiN",11,1,"stx2a",1,0,0
"DRR381603","stx_A",1,1,"Complete stx","PPanGGOLiN",50,1,"stx2a",1,0,0
"DRR381603","stx_B",1,1,"Complete stx","PPanGGOLiN",50,1,"stx2a",1,0,0
"DRR381603","stx_A",1,1,"Complete stx","PPanGGOLiN",89,1,"stx2a",1,0,0
"DRR381603","stx_B",1,1,"Complete stx","PPanGGOLiN",89,1,"stx2a",1,0,0
"DRR381603","stx_A",1,1,"Complete stx","PPanGGOLiN",100,1,"stx2a",1,0,0
"DRR381603","stx_B",1,1,"Complete stx","PPanGGOLiN",100,1,"stx2a",1,0,0
"DRR381603","stx_A",1,1,"Complete stx","Panaroo",0,1,"stx2a",1,0,0
"DRR381603","stx_B",1,1,"Complete stx","Panaroo",0,1,"stx2a",1,0,0
"DRR381603","stx_A",1,1,"Complete stx","Panaroo",11,1,"stx2a",1,0,0
"DRR381603","stx_B",1,1,"Complete stx","Panaroo",11,1,"stx2a",1,0,0
"DRR381603","stx_A",1,1,"Complete stx","Panaroo",50,1,"stx2a",1,0,0
"DRR381603","stx_B",1,1,"Complete stx","Panaroo",50,1,"stx2a",1,0,0
"DRR381603","stx_A",1,1,"Complete stx","Panaroo",89,1,"stx2a",1,0,0
"DRR381603","stx_B",1,1,"Complete stx","Panaroo",89,1,"stx2a",1,0,0
"DRR381603","stx_A",1,1,"Complete stx","Panaroo",100,1,"stx2a",1,0,0
"DRR381603","stx_B",1,1,"Complete stx","Panaroo",100,1,"stx2a",1,0,0
"DRR381603","stx_A",1,1,"Complete stx","ggCaller",0,1,"stx2a",1,0,0
"DRR381603","stx_B",1,1,"Complete stx","ggCaller",0,1,"stx2a",1,0,0
"DRR381603","stx_A",1,1,"Complete stx","ggCaller",11,1,"stx2a",1,0,0
"DRR381603","stx_B",1,1,"Complete stx","ggCaller",11,1,"stx2a",1,0,0
"DRR381603","stx_A",1,1,"Complete stx","ggCaller",50,3,"stx2a",1,2,0
"DRR381603","stx_B",1,1,"Complete stx","ggCaller",50,2,"stx2a",1,1,0
"DRR381603","stx_A",1,1,"Complete stx","ggCaller",89,3,"stx2a",1,2,0
"DRR381603","stx_B",1,1,"Complete stx","ggCaller",89,1,"stx2a",1,0,0
"DRR381603","stx_A",1,1,"Complete stx","ggCaller",100,3,"stx2a",1,2,0
"DRR381603","stx_B",1,1,"Complete stx","ggCaller",100,1,"stx2a",1,0,0
"DRR381607","stx_A",1,1,"Complete stx","BAKTA",0,1,"stx2a",1,0,0
"DRR381607","stx_B",1,1,"Complete stx","BAKTA",0,1,"stx2a",1,0,0
"DRR381607","stx_A",1,1,"Complete stx","BAKTA",100,1,"stx2a",1,0,0
"DRR381607","stx_B",1,1,"Complete stx","BAKTA",100,1,"stx2a",1,0,0
"DRR381607","stx_A",1,1,"Complete stx","PPanGGOLiN",0,1,"stx2a",1,0,0
"DRR381607","stx_B",1,1,"Complete stx","PPanGGOLiN",0,1,"stx2a",1,0,0
"DRR381607","stx_A",1,1,"Complete stx","PPanGGOLiN",11,1,"stx2a",1,0,0
"DRR381607","stx_B",1,1,"Complete stx","PPanGGOLiN",11,1,"stx2a",1,0,0
"DRR381607","stx_A",1,1,"Complete stx","PPanGGOLiN",50,1,"stx2a",1,0,0
"DRR381607","stx_B",1,1,"Complete stx","PPanGGOLiN",50,1,"stx2a",1,0,0
"DRR381607","stx_A",1,1,"Complete stx","PPanGGOLiN",89,1,"stx2a",1,0,0
"DRR381607","stx_B",1,1,"Complete stx","PPanGGOLiN",89,1,"stx2a",1,0,0
"DRR381607","stx_A",1,1,"Complete stx","PPanGGOLiN",100,1,"stx2a",1,0,0
"DRR381607","stx_B",1,1,"Complete stx","PPanGGOLiN",100,1,"stx2a",1,0,0
"DRR381607","stx_A",1,1,"Complete stx","Panaroo",0,1,"stx2a",1,0,0
"DRR381607","stx_B",1,1,"Complete stx","Panaroo",0,1,"stx2a",1,0,0
"DRR381607","stx_A",1,1,"Complete stx","Panaroo",11,1,"stx2a",1,0,0
"DRR381607","stx_B",1,1,"Complete stx","Panaroo",11,1,"stx2a",1,0,0
"DRR381607","stx_A",1,1,"Complete stx","Panaroo",50,1,"stx2a",1,0,0
"DRR381607","stx_B",1,1,"Complete stx","Panaroo",50,1,"stx2a",1,0,0
"DRR381607","stx_A",1,1,"Complete stx","Panaroo",89,1,"stx2a",1,0,0
"DRR381607","stx_B",1,1,"Complete stx","Panaroo",89,1,"stx2a",1,0,0
"DRR381607","stx_A",1,1,"Complete stx","Panaroo",100,1,"stx2a",1,0,0
"DRR381607","stx_B",1,1,"Complete stx","Panaroo",100,1,"stx2a",1,0,0
"DRR381607","stx_A",1,1,"Complete stx","ggCaller",0,1,"stx2a",1,0,0
"DRR381607","stx_B",1,1,"Complete stx","ggCaller",0,1,"stx2a",1,0,0
"DRR381607","stx_A",1,1,"Complete stx","ggCaller",11,1,"stx2a",1,0,0
"DRR381607","stx_B",1,1,"Complete stx","ggCaller",11,1,"stx2a",1,0,0
"DRR381607","stx_A",1,1,"Complete stx","ggCaller",50,3,"stx2a",1,2,0
"DRR381607","stx_B",1,1,"Complete stx","ggCaller",50,1,"stx2a",1,0,0
"DRR381607","stx_A",1,1,"Complete stx","ggCaller",89,3,"stx2a",1,2,0
"DRR381607","stx_B",1,1,"Complete stx","ggCaller",89,1,"stx2a",1,0,0
"DRR381607","stx_A",1,1,"Complete stx","ggCaller",100,3,"stx2a",1,2,0
"DRR381607","stx_B",1,1,"Complete stx","ggCaller",100,1,"stx2a",1,0,0
