Name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
GCF_000005845.2_ASM584v2_genomic	-	O16	H48	O16:H48	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;	100;100;100;	100;100;100;	NC_000913.3;NC_000913.3;NC_000913.3;	2108337-2109584;2106060-2107226;2002110-2003606;	1248;1167;1497;	v1.0 (11-03-2020)	-
GCF_000007445.1_ASM744v1_genomic	-	O6	H1	O6:H1	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O6-1-wzx-origin;O6-7-wzy-origin;H1-1-fliC-origin;	100;99.926;100;	100;100;100;	NC_004431.1;NC_004431.1;NC_004431.1;	2399075-2400331;2397732-2399075;2151497-2153284;	1257;1344;1788;	v1.0 (11-03-2020)	-
GCF_000008865.2_ASM886v2_genomic	-	O157	H7	O157:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O157-1-wzx-origin;O157-118-wzy;H7-1-fliC-origin;	100;100;100;	100;100;100;	NC_002695.2;NC_002695.2;NC_002695.2;	2783354-2784745;2785447-2786613;2624516-2626273;	1392;1167;1758;	v1.0 (11-03-2020)	-
GCF_000009565.1_ASM956v1_genomic	-	O7	-	O7:-	-	Based on 2 allele(s)	wzx:1;wzy:1;	O7-2-wzx-origin;O7-39-wzy;	100;100;	100;100;	NC_012892.2;NC_012892.2;	2007188-2008612;2002750-2003476;	1425;727;	v1.0 (11-03-2020)	-
GCF_000010245.2_ASM1024v1_genomic	-	O16	H48	O16:H48	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O16-1-wzx-origin;O16-2-wzy-origin;H48-1-fliC-origin;	100;100;100;	100;100;100;	NC_007779.1;NC_007779.1;NC_007779.1;	2110474-2111721;2108197-2109363;2004247-2005743;	1248;1167;1497;	v1.0 (11-03-2020)	-
GCF_000010385.1_ASM1038v1_genomic	-	O173	H28	O173:H28	-	Based on 3 allele(s)	wzx:0.98;wzy:0.99;fliC:1;	O173-1-wzx-origin;O173-2-wzy-origin;H28-2-fliC-origin;	98.998;98.981;100;	99;100;100;	NC_011415.1;NC_011415.1;NC_011415.1;	2365782-2366979;2357346-2358425;2217216-2218955;	1198;1080;1740;	v1.0 (11-03-2020)	-
GCF_000010485.1_ASM1048v1_genomic	-	O16	H5	O16:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O16-1-wzx-origin;O16-2-wzy-origin;H5-7-fliC;	100;100;100;	100;100;100;	NC_013654.1;NC_013654.1;NC_013654.1;	2057251-2058498;2054974-2056140;1888875-1890184;	1248;1167;1310;	v1.0 (11-03-2020)	-
GCF_000010745.1_ASM1074v1_genomic	-	O103	H2	O103:H2	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O103-7-wzx-origin;O103-9-wzy-origin;H2-2-fliC-origin;	100;100;100;	100;100;100;	NC_013353.1;NC_013353.1;NC_013353.1;	2518514-2519779;2515483-2516631;2243215-2244708;	1266;1149;1494;	v1.0 (11-03-2020)	-
GCF_000010765.1_ASM1076v1_genomic	-	O111	H8	O111:H8	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O111-2-wzx-origin;O111-4-wzy-origin;H8-1-fliC-origin;	100;100;100;	100;100;100;	NC_013364.1;NC_013364.1;NC_013364.1;	2684013-2685278;2682971-2684023;2490197-2491675;	1266;1053;1479;	v1.0 (11-03-2020)	-
GCF_000013265.1_ASM1326v1_genomic	-	O18	H7	O18:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O18-6-wzx;O18-11-wzy;H7-3-fliC-origin;	100;100;100;	100;100;100;	NC_007946.1;NC_007946.1;NC_007946.1;	2245400-2246647;2244153-2245341;2025856-2027613;	1248;1189;1758;	v1.0 (11-03-2020)	-
