genome	Unique	Distinct	Total	Max_count	rep_types	rep_frac_distinct	rep_frac_total
GCF_000005845.2_ASM584v2	4510145	4543891	4641632	81	33746	0.007427	0.028328
GCF_000007445.1_ASM744v1	4995633	5078581	5226783	53	82948	0.016333	0.044224
GCF_000008865.2_ASM886v2	5169920	5302382	5594545	61	132462	0.024982	0.075900
GCF_000009565.1_ASM956v1	4425506	4459732	4558927	78	34226	0.007674	0.029266
GCF_000010245.2_ASM1024v1	4503551	4537264	4646312	81	33713	0.007430	0.030726
GCF_000010385.1_ASM1038v1	4957541	5028157	5155486	44	70616	0.014044	0.038395
GCF_000010485.1_ASM1048v1	4727085	4756999	4839643	52	29914	0.006288	0.023258
GCF_000010745.1_ASM1074v1	5028195	5192678	5524820	45	164483	0.031676	0.089890
GCF_000010765.1_ASM1076v1	5288271	5424283	5765961	49	136012	0.025075	0.082847
GCF_000013265.1_ASM1326v1	5048355	5097115	5179931	48	48760	0.009566	0.025401
GCF_000013305.1_ASM1330v1	4789765	4836681	4938900	57	46916	0.009700	0.030196
GCF_000014845.1_ASM1484v1	5292499	5367997	5496467	46	75498	0.014064	0.037109
GCF_000017745.1_ASM1774v1	4961300	5044579	5249127	45	83279	0.016509	0.054833
GCF_000017765.1_ASM1776v1	4509339	4536841	4643497	64	27502	0.006062	0.028892
GCF_000017985.1_ASM1798v1	4489628	4526038	4629792	78	36410	0.008045	0.030274
GCF_000019385.1_ASM1938v1	4598223	4641246	4746198	84	43023	0.009270	0.031178
GCF_000019425.1_ASM1942v1	4312939	4459021	4686075	73	146082	0.032761	0.079627
GCF_000019645.1_ASM1964v1	5059564	5109402	5215277	34	49838	0.009754	0.029857
GCF_000021125.1_ASM2112v1	5157249	5326094	5704111	62	168845	0.031701	0.095872
GCF_000022225.1_ASM2222v1	5135023	5289500	5622697	62	154477	0.029204	0.086733
GCF_000022345.1_ASM2234v1	4435424	4472363	4578139	75	36939	0.008259	0.031173
GCF_000022665.1_ASM2266v1	4425512	4459738	4558933	78	34226	0.007674	0.029266
GCF_000023365.1_ASM2336v1	4494886	4528500	4630687	81	33614	0.007423	0.029326
GCF_000023665.1_ASM2366v1	4430954	4466481	4570918	76	35527	0.007954	0.030621
GCF_000025165.1_ASM2516v1	5158765	5263303	5452313	64	104538	0.019862	0.053839
GCF_000025745.1_ASM2574v1	4950528	5009064	5108363	48	58536	0.011686	0.030897
GCF_000026245.1_ASM2624v1	4915375	4990300	5154842	49	74925	0.015014	0.046455
GCF_000026265.1_ASM2626v1	4557410	4606148	4700540	48	48738	0.010581	0.030450
GCF_000026285.1_ASM2628v2	4988042	5050740	5166081	57	62698	0.012414	0.034463
GCF_000026345.1_ASM2634v1	4836452	4899323	5132048	41	62871	0.012833	0.057598
GCF_000026545.1_ASM2654v1	4860455	4917635	5069618	38	57180	0.011628	0.041258
GCF_000027125.1_ASM2712v1	5153598	5225382	5355283	59	71784	0.013738	0.037661
GCF_000091005.1_ASM9100v1	5203784	5406732	5855431	55	202948	0.037536	0.111289
GCF_000148365.1_ASM14836v1	4985494	5041186	5132900	48	55692	0.011047	0.028718
GCF_000148605.1_ASM14860v1	4982720	5025700	5098973	48	42980	0.008552	0.022799
GCF_000167875.2_ASM16787v2	4972801	5125354	5445590	60	152553	0.029764	0.086821
GCF_000183345.1_ASM18334v1	4804818	4832386	4894766	62	27568	0.005705	0.018376
GCF_000184185.1_ASM18418v1	4858307	4911057	5008783	45	52750	0.010741	0.030042
GCF_000210475.1_ASM21047v1	4976408	5082124	5325788	81	105716	0.020802	0.065602
GCF_000212715.2_ASM21271v2	5426354	5516379	5666489	76	90025	0.016320	0.042378
GCF_000219515.2_ASM21951v3	5015459	5060014	5156793	27	44555	0.008805	0.027407
GCF_000220005.1_ASM22000v2	5187718	5347912	5635185	80	160194	0.029954	0.079406
GCF_000227625.1_ASM22762v1	5114505	5189687	5378629	34	75182	0.014487	0.049106
GCF_000233875.1_ASM23387v1	4883758	4942981	5038366	54	59223	0.011981	0.030686
GCF_000233895.1_ASM23389v1	4883734	4942969	5038366	54	59235	0.011984	0.030691
GCF_000245515.1_ASM24551v1	5177257	5269850	5448186	63	92593	0.017570	0.049728
GCF_000258025.1_ASM25802v1	4652918	4708648	5027111	52	55730	0.011836	0.074435
GCF_000258145.1_ASM25814v1	4862307	4911373	5005287	45	49066	0.009990	0.028566
GCF_000262125.1_ASM26212v1	5131835	5256943	5516634	59	125108	0.023799	0.069752
GCF_000269645.1_PB_Esch_coli_MG12655_V1	4510039	4543806	4638950	81	33767	0.007431	0.027789
GCF_000270105.1_ASM27010v1	4481786	4515772	4621410	79	33986	0.007526	0.030212
GCF_000273425.1_Esch_coli_MG12655_V1	4510040	4543786	4638950	81	33746	0.007427	0.027789
GCF_000284495.1_ASM28449v1	4697200	4718772	4773088	62	21572	0.004572	0.015899
GCF_000285655.3_EC958.v1	5073103	5133730	5249389	50	60627	0.011810	0.033582
GCF_000299255.1_ASM29925v1	5139394	5240436	5438094	49	101042	0.019281	0.054927
GCF_000299455.1_ASM29945v1	5147939	5249346	5437327	49	101407	0.019318	0.053222
GCF_000299475.1_ASM29947v1	5046497	5162289	5389648	49	115792	0.022430	0.063669
GCF_000332755.1_ASM33275v1	4646442	4696186	4798388	61	49744	0.010592	0.031666
GCF_000464955.2_ASM46495v2	4896085	4947962	5045879	46	51877	0.010485	0.029686
GCF_000468515.1_ASM46851v1	4658952	4709204	4835581	45	50252	0.010671	0.036527
GCF_000493595.2_EcoPMV1	5049851	5111352	5210847	47	61501	0.012032	0.030896
GCF_000493755.1_ASM49375v1	5066533	5154281	5308115	50	87748	0.017024	0.045512
GCF_000499485.1_MYMC4100	4394889	4427792	4527227	75	32903	0.007431	0.029232
GCF_000520035.1_ASM52003v1	5153203	5351159	5737234	64	197956	0.036993	0.101797
GCF_000520055.1_ASM52005v1	5089901	5233452	5558948	62	143551	0.027430	0.084377
GCF_000597845.1_ASM59784v1	4540879	4606111	4758609	75	65232	0.014162	0.045755
GCF_000599625.1_ASM59962v1	4555525	4630910	4807957	75	75385	0.016279	0.052503
GCF_000599645.1_ASM59964v1	4519412	4633069	4875662	80	113657	0.024532	0.073067
GCF_000599665.1_ASM59966v1	4803436	4877515	5054489	22	74079	0.015188	0.049669
GCF_000599685.1_ASM59968v1	4785603	4851368	4998890	22	65765	0.013556	0.042667
GCF_000599705.1_ASM59970v1	4748436	4864453	5090422	22	116017	0.023850	0.067182
GCF_000618005.3_ASM61800v3	4689686	4750833	4882053	79	61147	0.012871	0.039403
GCF_000618905.3_ASM61890v3	5098690	5243695	5602930	54	145005	0.027653	0.089996
GCF_000662395.1_ASM66239v1	5090634	5233559	5558954	62	142925	0.027309	0.084246
GCF_000671295.1_ASM67129v1	5153640	5351183	5737233	64	197543	0.036916	0.101720
GCF_000714595.1_ASM71459v1	4705958	4972508	5439839	68	266550	0.053605	0.134909
GCF_000725305.1_ASM72530v1	4582283	4616557	4718525	80	34274	0.007424	0.028874
GCF_000730345.1_ASM73034v1	5169161	5324080	5651926	62	154919	0.029098	0.085416
GCF_000732965.1_ASM73296v1	5050661	5259613	5639359	61	208952	0.039728	0.104391
GCF_000743255.1_ASM74325v1	5020412	5090335	5203101	54	69923	0.013736	0.035112
GCF_000750555.1_ASM75055v1	4502002	4535606	4631449	81	33604	0.007409	0.027950
GCF_000784925.1_ASM78492v1	5341630	5419701	5559562	33	78071	0.014405	0.039199
GCF_000800215.1_ASM80021v1	4416613	4451193	4558643	80	34580	0.007769	0.031156
GCF_000800765.1_ASM80076v1	4416773	4451189	4558640	80	34416	0.007732	0.031120
GCF_000801165.1_ASM80116v1	4814317	4880675	4995866	48	66358	0.013596	0.036340
GCF_000801185.2_ASM80118v2	4896077	4947954	5045871	46	51877	0.010485	0.029686
GCF_000801205.1_ASM80120v1	4504469	4538220	4636811	81	33751	0.007437	0.028542
GCF_000803705.1_ASM80370v1	5125538	5269472	5582056	62	143934	0.027315	0.081783
GCF_000813165.1_ASM81316v1	4949441	4997311	5125724	46	47870	0.009579	0.034392
GCF_000814145.2_ASM81414v2	4842181	4936361	5106443	81	94180	0.019079	0.051751
GCF_000819645.1_ASM81964v1	5052453	5131416	5272994	55	78963	0.015388	0.041825
GCF_000827105.1_ASM82710v1	4934499	4996723	5104537	69	62224	0.012453	0.033311
GCF_000829985.1_ASM82998v1	4966895	5035641	5156848	81	68746	0.013652	0.036835
GCF_000830035.1_ASM83003v1	4425446	4459696	4557491	78	34250	0.007680	0.028973
GCF_000831565.1_ASM83156v1	4778373	4817971	4903772	45	39598	0.008219	0.025572
GCF_000833145.1_ASM83314v1	4401611	4432488	4528098	78	30877	0.006966	0.027934
GCF_000833635.2_ASM83363v2	4363199	4398208	4502738	76	35009	0.007960	0.030990
GCF_000931565.1_ASM93156v1	5118988	5174385	5292129	50	55397	0.010706	0.032717
GCF_000952955.1_EcRV308Chr	4453589	4486742	4585600	73	33153	0.007389	0.028788
GCF_000953515.1_EcHMS174Chr	4446121	4481047	4584840	81	34926	0.007794	0.030256
GCF_000967155.2_HUSEC2011CHR1	5149720	5251534	5443260	49	101814	0.019387	0.053927
GCF_000968515.1_ASM96851v1	4927633	5014306	5195866	77	86673	0.017285	0.051624
GCF_000971615.1_ASM97161v1	4940982	4997393	5092603	49	56411	0.011288	0.029773
GCF_000974405.1_ASM97440v1	4483965	4517419	4619709	81	33454	0.007406	0.029384
GCF_000974465.1_ASM97446v1	4467504	4500984	4604523	81	33480	0.007438	0.029757
GCF_000974505.1_ASM97450v1	4483720	4518022	4621144	81	34302	0.007592	0.029738
GCF_000974535.1_ASM97453v1	4474414	4507745	4607614	81	33331	0.007394	0.028909
GCF_000974575.1_ASM97457v1	4524625	4558186	4660412	81	33561	0.007363	0.029136
GCF_000974825.1_ASM97482v1	4474349	4507700	4606839	81	33351	0.007399	0.028759
GCF_000974865.1_ASM97486v1	4474094	4508474	4609609	81	34380	0.007626	0.029398
GCF_000974885.1_ASM97488v1	4546804	4580131	4682066	81	33327	0.007276	0.028889
GCF_000978815.2_ASM97881v2	5175372	5355399	5750430	62	180027	0.033616	0.100003
GCF_000978845.2_ASM97884v2	5110146	5292600	5639318	62	182454	0.034473	0.093836
GCF_000981485.1_EcoliK12AG100	4511202	4543998	4638085	81	32796	0.007217	0.027357
GCF_000986765.1_ASM98676v1	5111157	5233054	5445846	50	121897	0.023294	0.061458
GCF_000987875.1_ASM98787v1	4855020	4949721	5153415	81	94701	0.019133	0.057902
GCF_000988355.1_ASM98835v1	4510087	4543632	4633441	81	33545	0.007383	0.026623
GCF_000988385.1_ASM98838v1	4509452	4541612	4610861	81	32160	0.007081	0.021994
GCF_000988425.1_ASM98842v1	4513507	4540734	4605115	81	27227	0.005996	0.019893
GCF_000988465.1_ASM98846v1	4513585	4540870	4605281	81	27285	0.006009	0.019911
GCF_001007915.1_ASM100791v1	4885867	5017416	5288887	46	131549	0.026218	0.076201
GCF_001020945.2_ASM102094v2	4485296	4520454	4622322	80	35158	0.007778	0.029644
GCF_001021005.2_ASM102100v2	4485743	4520625	4621636	79	34882	0.007716	0.029404
GCF_001021595.1_ASM102159v1	4844964	4907457	5002761	47	62493	0.012734	0.031542
GCF_001021615.1_APECO18	4887270	4931014	5006548	48	43744	0.008871	0.023824
GCF_001021635.2_ASM102163v2	5077888	5159569	5318261	57	81681	0.015831	0.045198
GCF_001029125.1_ASM102912v1	4698347	4743667	4901685	78	45320	0.009554	0.041483
GCF_001039415.1_ASM103941v1	4374450	4407021	4501430	78	32571	0.007391	0.028209
GCF_001043215.1_ASM104321v1	4602596	4639066	4745551	80	36470	0.007861	0.030124
GCF_001051135.1_ASM105113v1	4810982	4848377	4936556	58	37395	0.007713	0.025438
GCF_001183645.1_ASM118364v1	4474276	4508194	4613524	79	33918	0.007524	0.030183
GCF_001183665.1_ASM118366v1	4472290	4506280	4611686	79	33990	0.007543	0.030227
GCF_001183685.1_ASM118368v1	4468890	4503093	4608698	79	34203	0.007595	0.030336
GCF_001276585.2_ASM127658v2	4458071	4488133	4587271	82	30062	0.006698	0.028165
GCF_001280325.1_ASM128032v1	5037163	5096403	5206917	49	59240	0.011624	0.032602
GCF_001280345.1_ASM128034v1	5186645	5253240	5358523	48	66595	0.012677	0.032076
GCF_001280385.1_ASM128038v1	4924686	4958289	5025143	49	33603	0.006777	0.019991
GCF_001280405.1_ASM128040v1	5024477	5072008	5152766	47	47531	0.009371	0.024897
GCF_001307215.1_ASM130721v1	5073094	5193855	5428048	61	120761	0.023251	0.065393
GCF_001308065.1_ASM130806v1	4510145	4543892	4641645	81	33747	0.007427	0.028330
GCF_001308125.1_ASM130812v1	4510154	4543908	4641664	81	33754	0.007428	0.028333
GCF_001308165.1_ASM130816v1	4510160	4543916	4641669	81	33756	0.007429	0.028332
