Isolate,Stx_type,Accession number
SRR3195839,stx2c_A,AB015057
SRR3195839,stx2c_B,AB015057
SRR6929606,stx1a_A,AB035142
SRR6929606,stx1a_B,AB035142
SRR6929606,stx2a_A,X07865
SRR6929606,stx2a_B,X07865
SRR6929627,stx2c_A,AB015057
SRR6929627,stx2c_B,AB015057
SRR14419381,stx2a_A,X07865
SRR14419381,stx2a_B,X07865
SRR14419381,stx2c_A,AB015057
SRR14419381,stx2c_B,AB015057
SRR6929614,stx2c_A,AB015057
SRR6929614,stx2c_B,AB015057
SRR6929638,stx2c_A,AB015057
SRR6929638,stx2c_B,AB015057
DRR381740,stx2a_A,X07865
DRR381740,stx2a_B,X07865
SRR4301571,stx2c_A,AB015057
SRR4301571,stx2c_B,AB015057
SRR15415578,stx2c_A,M59432
SRR15415578,stx2c_B,M59432
SRR6929610,stx1a_A,AB035142
SRR6929610,stx1a_B,AB035142
SRR6929610,stx2a_A,X07865
SRR6929610,stx2a_B,X07865
SRR15415624,stx2a_A,X07865
SRR15415624,stx2a_B,X07865
SRR15415624,stx2c_A,AB015057
SRR15415624,stx2c_B,AB015057
SRR7439153,stx1a_A,AB035142
SRR7439153,stx1a_B,AB035142
SRR7439153,stx2a_A,X07865
SRR7439153,stx2a_B,X07865
SRR6929631,stx2c_A,AB015057
SRR6929631,stx2c_B,AB015057
SRR3195840,stx1a_A,AB035142
SRR3195840,stx1a_B,AB035142
SRR3195840,stx2a_A,X07865
SRR3195840,stx2a_B,X07865
SRR6929609,stx1a_A,AB035142
SRR6929609,stx1a_B,AB035142
SRR6929609,stx2a_A,X07865
SRR6929609,stx2a_B,X07865
SRR15277999,stx1a_A,AB035142
SRR15277999,stx1a_B,AB035142
SRR15277999,stx2a_A,X07865
SRR15277999,stx2a_B,X07865
SRR15277999,stx2a_A,X07865
SRR15277999,stx2a_B,X07865
SRR4301577,stx2c_A,AB015057
SRR4301577,stx2c_B,AB015057
SRR6929618,stx2c_A,AB015057
SRR6929618,stx2c_B,AB015057
SRR4301494,stx2c_A,AB015057
SRR4301494,stx2c_B,AB015057
SRR13160359,stx1a_A,AB035142
SRR13160359,stx1a_B,AB035142
SRR13160359,stx2a_A,X07865
SRR13160359,stx2a_B,X07865
SRR15415547,stx1a_A,AF461168
SRR15415547,stx1a_B,AF461168
SRR6118141,stx2a_A,X07865
SRR6118141,stx2a_B,X07865
SRR6118141,stx2a_A,X07865
SRR6118141,stx2a_B,X07865
SRR6929601,stx2c_A,AB015057
SRR6929601,stx2c_B,AB015057
SRR15376149,stx2a_A,X07865
SRR15376149,stx2a_B,X07865
SRR15376149,stx2c_A,AB015057
SRR15376149,stx2c_B,AB015057
SRR15376141,stx2a_A,X07865
SRR15376141,stx2a_B,X07865
SRR15376141,stx2c_A,AB015057
SRR15376141,stx2c_B,AB015057
SRR3205757,stx2a_A,X07865
SRR3205757,stx2a_B,X07865
SRR3205757,stx2c_A,AB015057
SRR3205757,stx2c_B,AB015057
SRR15415573,stx1a_A,AB035142
SRR15415573,stx1a_B,AB035142
SRR15415573,stx2a_A,X07865
SRR15415573,stx2a_B,X07865
SRR15376146,stx2a_A,X07865
SRR15376146,stx2a_B,X07865
SRR15376146,stx2c_A,AB015057
SRR15376146,stx2c_B,AB015057
SRR6118142,stx2a_A,X07865
SRR6118142,stx2a_B,X07865
SRR6118142,stx2a_A,X07865
SRR6118142,stx2a_B,X07865
SRR6929634,stx2a_A,X07865
SRR6929634,stx2a_B,X07865
SRR15376145,stx2a_A,X07865
SRR15376145,stx2a_B,X07865
SRR15376145,stx2c_A,AB015057
SRR15376145,stx2c_B,AB015057
SRR15277995,stx1a_A,AB035142
SRR15277995,stx1a_B,AB035142
SRR15277995,stx2a_A,X07865
